 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
156,155,30028.635,28763.745,26333.582,25549.544,31320.315,31051.621,31160.666,30432.927,30773.118,31205.674,31106.278,31157.612
157,156,30098.896,28930.709,26422.056,25680.111,31386.983,31087.674,31219.756,30496.555,30862.863,31299.700,31154.420,31267.682
158,157,30054.332,28998.822,26395.980,25713.805,31419.045,31036.408,31182.591,30474.955,30857.767,31340.102,31156.085,31266.118
159,158,30064.225,29048.557,26426.158,25768.114,31461.601,31027.845,31207.789,30501.901,30870.444,31387.291,31183.757,31261.764
160,159,30136.044,29164.486,26487.858,25808.732,31495.004,31053.310,31210.496,30526.536,30898.129,31378.618,31227.655,31246.116
161,160,30216.266,29277.550,26544.039,25844.217,31528.446,31116.606,31245.704,30537.202,30906.877,31406.107,31280.572,31223.423
162,161,30227.513,29366.789,26561.490,25853.633,31528.960,31164.199,31259.695,30536.960,30881.272,31427.261,31299.292,31186.765
163,162,30213.204,29429.892,26536.244,25835.203,31529.306,31227.253,31288.739,30526.966,30849.903,31447.373,31322.638,31146.648
164,163,30278.435,29521.494,26628.001,25843.154,31511.383,31300.592,31333.937,30555.690,30849.032,31436.511,31380.809,31158.308
165,164,30374.247,29675.138,26774.094,25994.889,31551.314,31414.500,31425.968,30610.835,30896.046,31450.028,31480.220,31234.506
166,165,30449.801,29850.487,26877.877,26130.420,31561.978,31496.129,31445.697,30662.733,30932.674,31476.262,31558.385,31283.046
167,166,30490.391,29901.312,26928.022,26091.408,31464.611,31479.873,31391.236,30654.475,30893.394,31510.388,31538.369,31275.049
168,167,30583.810,29963.833,27058.692,26037.868,31438.319,31487.343,31385.844,30725.629,30885.567,31541.053,31518.126,31317.544
169,168,30822.395,30156.389,27351.850,26093.225,31583.849,31588.424,31467.214,30908.702,30944.667,31600.880,31638.538,31450.888
170,169,31064.944,30397.867,27544.706,26164.306,31649.496,31667.559,31500.102,31039.833,31064.827,31667.947,31761.813,31593.291
171,170,31175.907,30542.825,27580.764,26220.354,31611.892,31642.513,31475.000,31056.197,31071.310,31750.879,31773.922,31603.957
172,171,31244.798,30579.633,27630.149,26256.244,31524.049,31607.756,31473.655,31070.560,31054.811,31828.156,31785.173,31581.836
173,172,31317.155,30545.221,27700.517,26237.329,31443.639,31572.374,31493.492,31048.543,30998.233,31802.438,31724.694,31540.615
174,173,31387.876,30531.614,27816.157,26229.283,31447.164,31550.871,31528.690,31067.078,30943.953,31752.515,31693.879,31540.846
175,174,31477.770,30527.082,27959.498,26252.056,31473.301,31563.445,31604.618,31109.914,30928.218,31706.486,31677.568,31586.924
